x,y,z,timestamp
-0.61,0.24,0.06,2025-09-02 18:15:36.826
-0.61,0.18,0.0,2025-09-02 18:15:37.846
-0.49,0.24,0.0,2025-09-02 18:15:38.671
-0.61,0.24,0.06,2025-09-02 18:15:39.691
-0.61,0.18,0.0,2025-09-02 18:15:40.711
-0.55,0.18,0.0,2025-09-02 18:15:41.742
-0.61,0.18,0.0,2025-09-02 18:15:42.766
-0.61,0.18,0.0,2025-09-02 18:15:43.791
-0.55,0.24,0.0,2025-09-02 18:15:44.812
-0.55,0.18,0.0,2025-09-02 18:15:45.836
-0.55,0.18,0.0,2025-09-02 18:15:46.856
-0.61,0.18,0.0,2025-09-02 18:15:47.884
-0.92,0.18,0.06,2025-09-02 18:15:48.706
-0.61,0.18,0.06,2025-09-02 18:15:49.732
-0.61,0.24,0.06,2025-09-02 18:15:50.750
-0.55,0.18,0.0,2025-09-02 18:15:51.770
-0.61,0.18,0.0,2025-09-02 18:15:52.795
-0.49,0.18,0.0,2025-09-02 18:15:53.826
-0.61,0.18,0.06,2025-09-02 18:15:54.847
-0.49,0.24,0.0,2025-09-02 18:15:55.871
-0.61,0.18,-0.06,2025-09-02 18:15:56.896
-0.43,0.18,0.0,2025-09-02 18:15:57.915
-0.61,0.18,0.0,2025-09-02 18:15:58.746
-0.55,0.18,0.0,2025-09-02 18:15:59.756
-0.61,0.24,0.0,2025-09-02 18:16:00.780
-0.61,0.18,0.0,2025-09-02 18:16:01.810
-0.61,0.24,0.0,2025-09-02 18:16:02.835
-0.61,0.24,0.06,2025-09-02 18:16:03.856
-0.55,0.18,0.06,2025-09-02 18:16:04.879
-0.61,0.24,0.06,2025-09-02 18:16:05.901
-0.85,0.24,0.0,2025-09-02 18:16:06.926
-0.18,0.24,0.06,2025-09-02 18:16:07.951
-0.55,0.18,0.06,2025-09-02 18:16:08.771
-0.55,0.24,0.0,2025-09-02 18:16:09.796
-0.55,0.24,0.0,2025-09-02 18:16:10.826
-0.55,0.18,0.0,2025-09-02 18:16:11.846
-0.61,0.18,0.0,2025-09-02 18:16:12.876
-0.61,0.18,0.0,2025-09-02 18:16:13.891
-0.55,0.18,0.06,2025-09-02 18:16:14.921
-0.61,0.18,0.06,2025-09-02 18:16:15.941
-0.55,0.18,0.0,2025-09-02 18:16:16.984
-0.55,0.18,0.0,2025-09-02 18:16:17.986
-0.55,0.24,0.0,2025-09-02 18:16:18.806
-0.61,0.18,0.0,2025-09-02 18:16:19.833
-0.55,0.18,0.0,2025-09-02 18:16:20.851
-0.61,0.24,0.0,2025-09-02 18:16:21.881
-0.55,0.24,0.0,2025-09-02 18:16:22.901
-0.55,0.18,0.0,2025-09-02 18:16:23.930
-0.55,0.18,0.0,2025-09-02 18:16:24.955
-0.55,0.18,0.0,2025-09-02 18:16:25.981
-0.61,0.18,0.0,2025-09-02 18:16:27.021
-0.55,0.18,0.0,2025-09-02 18:16:28.021
-0.55,0.18,0.0,2025-09-02 18:16:28.849
-0.61,0.18,0.0,2025-09-02 18:16:29.875
-0.55,0.18,0.0,2025-09-02 18:16:30.892
-0.61,0.18,0.0,2025-09-02 18:16:31.931
-0.61,0.18,0.0,2025-09-02 18:16:32.937
-0.55,0.18,0.0,2025-09-02 18:16:33.961
-0.61,0.24,0.0,2025-09-02 18:16:34.991
-0.67,0.18,0.06,2025-09-02 18:16:36.011
-0.61,0.18,0.06,2025-09-02 18:16:37.030
-0.61,0.18,0.06,2025-09-02 18:16:38.096
-0.61,0.24,0.0,2025-09-02 18:16:38.880
-0.55,0.18,0.0,2025-09-02 18:16:39.900
-0.55,0.18,0.0,2025-09-02 18:16:40.930
-0.55,0.18,0.0,2025-09-02 18:16:41.950
-0.61,0.18,0.0,2025-09-02 18:16:42.970
-0.61,0.18,0.0,2025-09-02 18:16:44.000
-0.67,0.18,0.0,2025-09-02 18:16:45.021
-0.49,0.24,0.0,2025-09-02 18:16:46.045
-0.55,0.18,0.0,2025-09-02 18:16:47.070
-0.61,0.18,0.0,2025-09-02 18:16:48.090
-0.79,0.18,0.06,2025-09-02 18:16:49.120
-0.43,0.24,0.0,2025-09-02 18:16:49.940
-0.61,0.18,0.06,2025-09-02 18:16:50.960
-0.61,0.24,0.06,2025-09-02 18:16:51.987
-0.61,0.24,0.0,2025-09-02 18:16:53.009
-0.61,0.18,0.0,2025-09-02 18:16:54.033
-0.55,0.18,0.0,2025-09-02 18:16:55.059
-0.61,0.18,0.0,2025-09-02 18:16:56.081
-0.55,0.18,0.06,2025-09-02 18:16:57.100
-0.61,0.18,0.06,2025-09-02 18:16:58.129
-0.55,0.18,0.0,2025-09-02 18:16:59.151
-0.55,0.18,0.06,2025-09-02 18:17:00.315
-0.55,0.18,0.06,2025-09-02 18:17:00.995
-0.61,0.24,0.0,2025-09-02 18:17:02.015
-0.55,0.18,0.06,2025-09-02 18:17:03.045
-0.55,0.18,0.06,2025-09-02 18:17:04.070
-0.61,0.18,0.0,2025-09-02 18:17:05.112
-0.67,0.24,0.06,2025-09-02 18:17:06.120
-0.55,0.18,0.06,2025-09-02 18:17:07.140
-1.04,-0.18,-0.06,2025-09-02 18:17:08.160
0.37,0.18,0.0,2025-09-02 18:17:09.190
-0.12,0.18,0.12,2025-09-02 18:17:10.009
-0.37,0.18,0.0,2025-09-02 18:17:11.031
-0.98,0.31,-0.06,2025-09-02 18:17:12.056
-0.43,0.18,0.0,2025-09-02 18:17:13.085
0.18,0.67,0.0,2025-09-02 18:17:14.101
-0.37,0.18,0.0,2025-09-02 18:17:15.130
-0.67,0.12,0.06,2025-09-02 18:17:16.150
-0.98,0.0,0.0,2025-09-02 18:17:17.171
-0.18,0.37,0.06,2025-09-02 18:17:18.200
