timestamp,accMagnitude,alarmLED
2025-08-14 22:25:03,1.14,0
2025-08-14 22:25:04,1.91,1
2025-08-14 22:25:05,2.10,1
2025-08-14 22:25:05,1.21,0
2025-08-14 22:25:06,0.31,0
2025-08-14 22:25:06,2.07,1
2025-08-14 22:25:07,1.73,1
2025-08-14 22:25:07,1.59,1
2025-08-14 22:25:08,0.59,0
2025-08-14 22:25:08,1.61,1
2025-08-14 22:25:09,1.27,0
2025-08-14 22:25:09,0.63,0
2025-08-14 22:25:10,2.23,1
2025-08-14 22:25:11,1.79,1
2025-08-14 22:25:11,1.25,0
2025-08-14 22:25:12,1.78,1
2025-08-14 22:25:12,0.87,0
2025-08-14 22:25:13,1.44,0
2025-08-14 22:25:13,1.59,1
2025-08-14 22:25:14,1.01,0
2025-08-14 22:25:14,1.03,0
2025-08-14 22:25:15,1.01,0
2025-08-14 22:25:15,1.56,1
2025-08-14 22:25:16,0.87,0
2025-08-14 22:25:17,1.05,0
2025-08-14 22:25:17,1.47,0
2025-08-14 22:25:18,1.48,0
2025-08-14 22:25:18,1.05,0
2025-08-14 22:25:19,1.37,0
2025-08-14 22:25:19,1.05,0
2025-08-14 22:25:20,1.29,0
2025-08-14 22:25:20,1.01,0
2025-08-14 22:25:21,1.01,0
2025-08-14 22:25:22,1.01,0
2025-08-14 22:25:22,1.01,0
2025-08-14 22:25:23,1.01,0
2025-08-14 22:25:23,1.01,0
2025-08-14 22:25:24,1.01,0
2025-08-14 22:25:24,1.01,0
2025-08-14 22:25:25,1.01,0
2025-08-14 22:25:25,1.01,0
2025-08-14 22:25:26,1.01,0
2025-08-14 22:25:26,1.01,0
2025-08-14 22:25:27,1.01,0
2025-08-14 22:25:28,1.01,0
2025-08-14 22:25:28,1.01,0
2025-08-14 22:25:29,1.01,0
2025-08-14 22:25:29,1.01,0
2025-08-14 22:25:30,1.01,0
2025-08-14 22:25:30,1.01,0
2025-08-14 22:25:31,1.01,0
2025-08-14 22:25:31,1.01,0
2025-08-14 22:25:32,0.93,0
2025-08-14 22:25:32,1.02,0
2025-08-14 22:25:33,0.94,0
2025-08-14 22:25:34,1.99,1
2025-08-14 22:25:34,0.66,0
2025-08-14 22:25:35,1.83,1
2025-08-14 22:25:35,0.96,0
2025-08-14 22:25:36,0.91,0
2025-08-14 22:25:36,1.21,0
2025-08-14 22:25:37,1.08,0
2025-08-14 22:25:37,0.85,0
2025-08-14 22:25:38,1.07,0
2025-08-14 22:25:38,1.07,0
2025-08-14 22:25:39,0.99,0
2025-08-14 22:25:40,1.13,0
2025-08-14 22:25:40,0.89,0
2025-08-14 22:25:41,0.94,0
2025-08-14 22:25:41,1.69,1
2025-08-14 22:25:42,0.92,0
2025-08-14 22:25:42,2.69,1
2025-08-14 22:25:43,1.22,0
2025-08-14 22:25:43,1.08,0
2025-08-14 22:25:44,1.32,0
2025-08-14 22:25:44,0.99,0
2025-08-14 22:25:45,1.25,0
2025-08-14 22:25:46,0.95,0
2025-08-14 22:25:46,1.01,0
2025-08-14 22:25:47,0.95,0
2025-08-14 22:25:47,1.02,0
2025-08-14 22:25:48,1.06,0
2025-08-14 22:25:48,1.00,0
2025-08-14 22:25:49,1.03,0
2025-08-14 22:25:49,1.01,0
2025-08-14 22:25:50,1.01,0
2025-08-14 22:25:50,1.01,0
2025-08-14 22:25:51,1.01,0
2025-08-14 22:25:52,1.01,0
2025-08-14 22:25:52,1.01,0
2025-08-14 22:25:53,1.01,0
2025-08-14 22:25:53,1.01,0
2025-08-14 22:25:54,1.01,0
2025-08-14 22:25:54,1.01,0
2025-08-14 22:25:55,1.01,0
2025-08-14 22:25:55,1.01,0
2025-08-14 22:25:56,1.01,0
2025-08-14 22:25:56,1.01,0
2025-08-14 22:25:57,1.01,0
2025-08-14 22:25:58,1.01,0
2025-08-14 22:25:58,1.01,0
